,Name,Number,Position,Age,Height,Weight,College,Salary,WeightNum,Feet,Inches,HeightNum,SalaryNum,Team
0,Jaylen Brown,7,G,24,"6' 6""",223 lbs,California,"$23,735,118",223.0,6.0,6.0,78.0,23735118.0,Boston Celtics
1,Carsen Edwards,4,G,22,"5' 11""",200 lbs,Purdue,"$1,517,981",200.0,5.0,11.0,71.0,1517981.0,Boston Celtics
2,Tacko Fall,99,C,24,"7' 5""",311 lbs,UCF,,311.0,7.0,5.0,89.0,,Boston Celtics
3,Javonte Green,43,G,27,"6' 4""",205 lbs,Radford,"$1,517,981",205.0,6.0,4.0,76.0,1517981.0,Boston Celtics
4,Amile Jefferson,,F,27,"6' 9""",222 lbs,Duke,,222.0,6.0,9.0,81.0,,Boston Celtics
5,Romeo Langford,45,G,21,"6' 4""",216 lbs,Indiana,"$3,631,200",216.0,6.0,4.0,76.0,3631200.0,Boston Celtics
6,Yam Madar,,G,19,"6' 2""",,,,,6.0,2.0,74.0,,Boston Celtics
7,Aaron Nesmith,,F,,"6' 6""",213 lbs,Vanderbilt,"$3,458,400",213.0,6.0,6.0,78.0,3458400.0,Boston Celtics
8,Semi Ojeleye,37,F,25,"6' 6""",240 lbs,SMU,"$1,752,950",240.0,6.0,6.0,78.0,1752950.0,Boston Celtics
9,Payton Pritchard,,G,,"6' 2""",190 lbs,Oregon,"$2,193,480",190.0,6.0,2.0,74.0,2193480.0,Boston Celtics
10,Marcus Smart,36,G,26,"6' 3""",220 lbs,Oklahoma State,"$13,446,428",220.0,6.0,3.0,75.0,13446428.0,Boston Celtics
11,Jayson Tatum,0,F,22,"6' 8""",210 lbs,Duke,"$9,897,120",210.0,6.0,8.0,80.0,9897120.0,Boston Celtics
12,Jeff Teague,,G,32,"6' 3""",195 lbs,Wake Forest,"$1,620,564",195.0,6.0,3.0,75.0,1620564.0,Boston Celtics
13,Daniel Theis,27,F,28,"6' 8""",245 lbs,,"$5,000,000",245.0,6.0,8.0,80.0,5000000.0,Boston Celtics
14,Tristan Thompson,,C,29,"6' 9""",254 lbs,Texas,"$9,258,000",254.0,6.0,9.0,81.0,9258000.0,Boston Celtics
15,Kemba Walker,8,G,30,"6' 0""",184 lbs,Connecticut,"$34,379,100",184.0,6.0,0.0,72.0,34379100.0,Boston Celtics
16,Tremont Waters,51,G,22,"5' 10""",175 lbs,LSU,,175.0,5.0,10.0,70.0,,Boston Celtics
17,Grant Williams,12,F,22,"6' 6""",236 lbs,Tennessee,"$2,498,760",236.0,6.0,6.0,78.0,2498760.0,Boston Celtics
18,Robert Williams III,44,C,23,"6' 8""",237 lbs,Texas A&M,"$2,029,920",237.0,6.0,8.0,80.0,2029920.0,Boston Celtics
19,Jarrett Allen,31,C,22,"6' 11""",243 lbs,Texas,"$3,909,902",243.0,6.0,11.0,83.0,3909902.0,Brooklyn Nets
20,Jordan Bowden,24,G,,"6' 5""",193 lbs,Tennessee,,193.0,6.0,5.0,77.0,,Brooklyn Nets
21,Bruce Brown,1,G,24,"6' 4""",202 lbs,Miami (FL),"$1,663,861",202.0,6.0,4.0,76.0,1663861.0,Brooklyn Nets
22,Chris Chiozza,4,G,25,"5' 11""",175 lbs,Florida,,175.0,5.0,11.0,71.0,,Brooklyn Nets
23,Nicolas Claxton,33,PF,21,"6' 11""",215 lbs,Georgia,"$1,517,981",215.0,6.0,11.0,83.0,1517981.0,Brooklyn Nets
24,Spencer Dinwiddie,26,G,27,"6' 5""",215 lbs,Colorado,"$11,454,048",215.0,6.0,5.0,77.0,11454048.0,Brooklyn Nets
25,Kevin Durant,7,F,32,"6' 10""",240 lbs,Texas,"$40,108,950",240.0,6.0,10.0,82.0,40108950.0,Brooklyn Nets
26,Jeff Green,8,F,34,"6' 8""",235 lbs,Georgetown,"$1,620,564",235.0,6.0,8.0,80.0,1620564.0,Brooklyn Nets
27,Joe Harris,12,G,29,"6' 6""",220 lbs,Virginia,"$16,071,429",220.0,6.0,6.0,78.0,16071429.0,Brooklyn Nets
28,Kyrie Irving,11,G,28,"6' 2""",195 lbs,Duke,"$31,742,000",195.0,6.0,2.0,74.0,31742000.0,Brooklyn Nets
29,Tyler Johnson,10,G,28,"6' 3""",186 lbs,Fresno State,"$1,620,564",186.0,6.0,3.0,75.0,1620564.0,Brooklyn Nets
30,DeAndre Jordan,6,C,32,"6' 11""",265 lbs,Texas A&M,"$10,375,678",265.0,6.0,11.0,83.0,10375678.0,Brooklyn Nets
31,Rodions Kurucs,00,F,22,"6' 9""",228 lbs,,"$1,780,152",228.0,6.0,9.0,81.0,1780152.0,Brooklyn Nets
