,GP,GS,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Jaylen Brown,279,172,26.3,4.9-10.4,46.8,1.4-3.8,37.1,1.9-2.9,67.8,0.9,3.6,4.5,1.4,0.3,0.9,2.4,1.5,13.1
Carsen Edwards,37,0,9.5,1.1-3.5,32.8,0.6-2.1,31.6,0.4-0.5,68.4,0.2,1.1,1.3,0.6,0.1,0.3,0.9,0.4,3.3
Tacko Fall,7,0,4.7,1.6-2.0,78.6,0.0-0.0,0.0,0.1-0.4,33.3,0.1,2.0,2.1,0.1,0.6,0.1,1.0,0.4,3.3
Javonte Green,48,2,9.8,1.3-2.6,50.0,0.2-0.7,27.3,0.6-0.9,66.7,0.5,1.4,1.9,0.5,0.2,0.5,0.9,0.5,3.4
Amile Jefferson,30,0,4.7,0.5-1.0,50.0,0.0-0.0,0.0,0.4-0.7,54.5,0.5,0.9,1.5,0.2,0.2,0.1,0.5,0.1,1.4
Romeo Langford,32,2,11.6,0.9-2.5,35.0,0.2-0.8,18.5,0.6-0.8,72.0,0.5,0.8,1.3,0.4,0.3,0.3,1.0,0.3,2.5
Semi Ojeleye,198,9,13.9,1.1-2.7,39.1,0.6-1.7,34.0,0.4-0.6,68.8,0.4,1.5,2.0,0.4,0.1,0.3,1.1,0.3,3.1
Marcus Smart,401,183,28.9,3.3-8.8,37.3,1.5-4.6,31.8,1.9-2.4,77.5,0.9,2.7,3.6,4.1,0.4,1.6,2.6,1.7,9.9
Jayson Tatum,225,225,31.8,6.3-13.8,45.7,1.8-4.5,40.1,2.9-3.6,82.9,0.8,5.1,6.0,2.2,0.8,1.2,2.1,1.7,17.3
Jeff Teague,771,593,27.5,4.4-10.0,44.5,0.9-2.4,35.6,2.8-3.3,84.4,0.3,2.1,2.5,5.8,0.3,1.2,1.9,2.3,12.6
Daniel Theis,194,69,17.6,2.6-4.8,55.5,0.4-1.1,34.4,1.1-1.4,75.3,1.6,3.1,4.8,1.2,0.9,0.5,2.8,0.7,6.7
Tristan Thompson,619,429,28.1,3.8-7.3,51.8,0.0-0.1,28.1,1.8-3.0,61.0,3.4,5.3,8.7,1.0,0.7,0.5,2.3,1.2,9.4
Kemba Walker,661,616,33.8,6.9-16.4,41.9,2.2-6.1,36.0,3.9-4.7,83.7,0.6,3.3,3.8,5.4,0.4,1.3,1.5,2.2,19.9
Tremont Waters,11,1,10.8,1.3-4.5,28.6,0.4-2.2,16.7,0.7-0.7,100.0,0.0,1.1,1.1,1.5,0.2,0.9,1.2,1.4,3.6
Grant Williams,69,5,15.1,1.3-3.1,41.2,0.3-1.4,25.0,0.6-0.8,72.2,0.9,1.7,2.6,1.0,0.5,0.4,2.4,0.7,3.4
Robert Williams III,61,3,11.0,1.6-2.3,71.9,0.0-0.0,0.0,0.5-0.8,63.3,1.1,2.3,3.4,0.6,1.2,0.5,1.4,0.5,3.8
Jarrett Allen,222,175,24.3,3.9-6.4,60.9,0.0-0.3,16.7,2.2-3.1,69.4,2.5,5.3,7.8,1.2,1.4,0.5,2.2,1.2,10.1
Bruce Brown,132,99,23.4,2.4-5.8,42.4,0.4-1.4,30.2,1.0-1.4,74.3,0.8,2.7,3.5,2.4,0.5,0.8,2.6,1.1,6.3
Chris Chiozza,35,2,12.4,1.6-4.2,38.5,0.8-2.2,37.7,0.1-0.1,100.0,0.3,1.3,1.6,2.5,0.1,0.6,1.1,0.9,4.2
Nicolas Claxton,15,0,12.5,1.8-3.2,56.3,0.1-0.5,14.3,0.7-1.4,52.4,1.3,1.7,2.9,1.1,0.5,0.1,0.9,0.6,4.4
Spencer Dinwiddie,317,130,25.7,4.2-10.1,41.0,1.4-4.4,31.8,3.2-4.1,79.3,0.4,2.3,2.8,5.0,0.3,0.7,2.4,1.8,12.9
Kevin Durant,849,849,36.9,9.2-18.7,49.3,1.8-4.9,38.1,6.8-7.7,88.3,0.7,6.3,7.1,4.1,1.1,1.1,1.9,3.1,27.0
Jeff Green,908,545,29.5,4.7-10.7,44.2,1.0-3.1,33.4,2.5-3.1,80.5,0.9,3.5,4.4,1.6,0.5,0.7,2.2,1.5,13.0
Joe Harris,331,171,24.3,3.8-8.0,47.9,1.9-4.4,42.6,0.9-1.2,77.9,0.6,2.6,3.1,1.6,0.2,0.5,2.0,1.2,10.4
Kyrie Irving,528,528,33.8,8.2-17.7,46.6,2.1-5.4,39.0,3.8-4.4,87.7,0.8,2.9,3.7,5.7,0.4,1.3,2.2,2.6,22.4
Tyler Johnson,309,75,25.7,3.8-8.8,42.9,1.2-3.5,35.9,1.7-2.2,77.6,0.6,2.6,3.2,2.5,0.4,0.9,1.9,1.1,10.5
DeAndre Jordan,875,713,27.8,3.8-5.7,66.9,0.0-0.0,9.1,1.9-3.9,47.4,3.2,7.6,10.8,0.9,1.6,0.6,2.6,1.4,9.5
Rodions Kurucs,110,55,18.0,2.6-5.7,44.9,0.8-2.5,33.2,0.9-1.2,73.8,0.7,2.7,3.5,0.9,0.3,0.6,2.1,1.1,6.8
Caris LeVert,213,92,25.8,4.7-10.9,43.3,1.3-3.8,33.9,2.0-2.8,70.8,0.8,2.9,3.7,3.6,0.3,1.1,1.9,1.9,12.7
Timothe Luwawu-Cabarrot,218,35,16.1,2.0-5.1,39.8,0.9-2.7,33.8,1.2-1.4,82.8,0.4,1.7,2.0,0.8,0.1,0.4,2.0,0.8,6.1
Jeremiah Martin,9,0,11.0,2.7-5.9,45.3,0.6-2.0,27.8,1.2-1.6,78.6,0.1,1.0,1.1,2.0,0.2,0.8,0.8,0.4,7.1
Taurean Prince,260,200,26.4,4.1-10.0,41.2,1.8-5.0,36.6,1.5-1.8,81.8,0.6,3.8,4.3,1.9,0.4,0.9,2.2,1.8,11.6
Landry Shamet,132,57,24.7,3.0-7.2,42.0,2.1-5.2,40.2,1.1-1.3,82.8,0.2,1.6,1.8,1.6,0.2,0.4,2.3,0.7,9.2
RJ Barrett,56,55,30.4,5.2-13.0,40.2,1.1-3.5,32.0,2.8-4.5,61.4,0.9,4.1,5.0,2.6,0.3,1.0,2.2,2.2,14.3
Ignas Brazdeikis,9,0,5.9,0.7-2.4,27.3,0.1-1.0,11.1,0.4-0.6,80.0,0.2,0.3,0.6,0.4,0.1,0.0,0.3,0.2,1.9
Reggie Bullock,301,138,19.7,2.5-5.9,43.0,1.3-3.4,38.5,0.5-0.6,82.6,0.3,1.8,2.1,1.1,0.1,0.5,1.1,0.6,6.9
Alec Burks,495,86,21.8,3.5-8.3,42.2,0.8-2.3,36.4,2.4-3.1,79.1,0.6,2.6,3.2,1.9,0.2,0.7,1.8,1.3,10.3
Jacob Evans,59,2,10.5,1.1-3.2,33.7,0.3-0.9,31.5,0.4-0.5,83.3,0.3,0.9,1.1,0.9,0.3,0.3,1.2,0.6,2.8
Taj Gibson,799,440,25.2,4.0-7.7,51.5,0.0-0.1,22.0,1.6-2.2,70.9,2.3,3.9,6.3,1.0,1.0,0.6,2.5,1.2,9.5
